ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
1,Inception,2010,13+,8.8,87%,1,0,0,0,0,Christopher Nolan,148.0,Really_Good,Really_Good,Teen,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Modern
2,The Matrix,1999,18+,8.7,87%,1,0,0,0,0,"Lana Wachowski,Lilly Wachowski",136.0,Really_Good,Really_Good,Adult,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
3,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0,0,"Anthony Russo,Joe Russo",149.0,Good,Really_Good,Teen,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
4,Back to the Future,1985,7+,8.5,96%,1,0,0,0,0,Robert Zemeckis,116.0,Really_Good,Really_Good,Non-Adult,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
5,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0,0,Sergio Leone,161.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Vintage
6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0,0,"Bob Persichetti,Peter Ramsey,Rodney Rothman",117.0,Really_Good,Really_Good,Non-Adult,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
7,The Pianist,2002,18+,8.5,95%,1,0,1,0,0,Roman Polanski,150.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Modern
8,Django Unchained,2012,18+,8.4,87%,1,0,0,0,0,Quentin Tarantino,165.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Latest
9,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0,0,Steven Spielberg,115.0,Really_Good,Really_Good,Non-Adult,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Golden
10,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0,0,Quentin Tarantino,153.0,Really_Good,Really_Good,Adult,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Modern
11,Taxi Driver,1976,18+,8.3,95%,1,0,0,0,0,Martin Scorsese,114.0,Really_Good,Really_Good,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Golden
12,3 Idiots,2009,13+,8.4,100%,1,0,1,0,0,Rajkumar Hirani,170.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Modern
13,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0,0,Guillermo del Toro,118.0,Really_Good,Really_Good,Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Modern
14,Room,2015,18+,8.1,93%,1,0,0,0,0,Lenny Abrahamson,118.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
15,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0,0,"Terry Gilliam,Terry Jones",91.0,Really_Good,Really_Good,Non-Adult,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,Golden
16,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,0,Sergio Leone,165.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,Vintage
17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0,0,Steven Spielberg,127.0,Really_Good,Really_Good,Teen,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Golden
18,Groundhog Day,1993,7+,8.0,96%,1,0,0,0,0,Harold Ramis,101.0,Really_Good,Really_Good,Non-Adult,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Modern
19,The King's Speech,2010,18+,8.0,95%,1,0,0,0,0,Tom Hooper,118.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Modern
20,Her,2013,18+,8.0,95%,1,0,0,0,0,Spike Jonze,126.0,Really_Good,Really_Good,Adult,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
21,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0,0,Paul Thomas Anderson,158.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Modern
22,The Social Network,2010,13+,7.7,96%,1,0,0,0,0,David Fincher,120.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Modern
23,Dallas Buyers Club,2013,18+,8.0,93%,1,0,0,0,0,Jean-Marc Vallée,117.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Latest
24,The Perks of Being a Wallflower,2012,13+,8.0,86%,1,0,0,0,0,Stephen Chbosky,103.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
25,Life of Brian,1979,18+,8.1,95%,1,0,0,0,0,Terry Jones,94.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Golden
26,Ex Machina,2015,18+,7.7,92%,1,0,0,0,0,Alex Garland,108.0,Really_Good,Good,Adult,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
27,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0,0,David O. Russell,122.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
28,District 9,2009,18+,7.9,90%,1,0,0,0,0,Neill Blomkamp,112.0,Really_Good,Good,Adult,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,Modern
29,The Irishman,2019,18+,7.9,96%,1,0,0,0,0,Martin Scorsese,209.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Latest
30,Moon,2009,18+,7.9,90%,1,0,0,0,0,Duncan Jones,97.0,Really_Good,Good,Adult,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,Modern
31,Marriage Story,2019,18+,8.0,95%,1,0,0,0,0,Noah Baumbach,137.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,Latest
32,Drive,2011,18+,7.8,92%,1,0,1,0,0,Nicolas Winding Refn,100.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
33,Train to Busan,2016,NA,7.5,94%,1,0,1,0,0,Sang-ho Yeon,118.0,Really_Good,Good,NA,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
34,Incredibles 2,2018,7+,7.6,94%,1,0,0,0,0,Brad Bird,118.0,Really_Good,Good,Non-Adult,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
35,Dangal,2016,7+,8.4,88%,1,0,0,0,0,Nitesh Tiwari,161.0,Really_Good,Really_Good,Non-Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
36,Klaus,2019,7+,8.2,94%,1,0,0,0,0,"Sergio Pablos,Carlos Martínez López",96.0,Really_Good,Really_Good,Non-Adult,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Latest
